content_id,platform,content_date,topic,title,caption,content_type,format,hook_type,video_length,posting_time,views,likes,comments,shares,saves,followers_before,followers_after,retention_rate,hashtag_count,hashtags,cta_type,caption_style,audience_segment
CONTENT_C0EC45BC,YouTube,2026-08-14 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Single Image,Audio Hook,0.0,Night (9 PM-12 AM),1528,85,27,12,50,1769,1781,0.16,2,#AcademicStress #struggle,Follow for more,Question to Audience,General
CONTENT_AEA96D56,TikTok,2026-06-25 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Long Video,Story Hook,131.1,Night (9 PM-12 AM),12550,1129,71,237,293,20118,20225,0.41,4,#SelfConfidence #struggle,Follow for more,Emotion + Personal Story,Professionals
CONTENT_F7AC6829,YouTube,2026-05-29 23:41:46,Relationships,The truth about relationships,Let's talk about relationships. #growth #mentalhealth,Organic,Long Video,Visual Hook,126.4,Evening (5-8 PM),8971,462,75,202,62,18159,18187,0.35,8,#Relationships #struggle,Follow for more,Question to Audience,Millennials
CONTENT_06B68628,Instagram,2026-04-18 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Short Video,Question Hook,16.4,Afternoon (12-4 PM),28548,2711,311,864,1318,30127,30543,0.64,2,#AcademicStress #struggle,Follow for more,Long-form vulnerable,Millennials
CONTENT_6D82194F,TikTok,2026-04-19 23:41:46,Financial Stress,The truth about financial stress,Let's talk about financial stress. #growth #mentalhealth,Organic,Long Video,Story Hook,262.2,Morning (8-11 AM),466,23,3,18,14,4561,4566,0.32,9,#FinancialStress #struggle,Comment your thoughts,Question to Audience,Millennials
CONTENT_F373FD8E,TikTok,2026-06-20 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Story Hook,41.6,Evening (5-8 PM),2438,258,26,207,159,34270,34354,0.51,9,#SocialAnxiety #struggle,None,Educational / Tips,Millennials
CONTENT_2E31E031,YouTube,2026-04-23 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Short Video,Visual Hook,40.3,Night (9 PM-12 AM),3910,406,31,18,59,23299,23320,0.64,9,#AcademicStress #struggle,Link in bio,Long-form vulnerable,Students
CONTENT_F5184EFC,Instagram,2026-08-11 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Short Video,Audio Hook,51.3,Night (9 PM-12 AM),29842,2441,198,2930,55,10474,10785,0.66,5,#Overthinking #struggle,Share this,Emotion + Personal Story,Professionals
CONTENT_08EFB886,YouTube,2026-03-11 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Short Video,Audio Hook,24.8,Afternoon (12-4 PM),456,34,3,16,5,28728,28731,0.33,6,#CareerPressure #struggle,Save for later,Long-form vulnerable,Gen Z
CONTENT_B05D3085,TikTok,2026-07-26 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Long Video,Story Hook,334.9,Night (9 PM-12 AM),51781,5658,321,666,2089,41772,42302,0.42,1,#SelfConfidence #struggle,Comment your thoughts,Emotion + Personal Story,Students
CONTENT_0775B126,Instagram,2026-03-20 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Long Video,Audio Hook,276.5,Night (9 PM-12 AM),28552,2423,183,2985,1025,36153,37173,0.42,9,#Loneliness #struggle,Share this,Educational / Tips,Millennials
CONTENT_1A61B093,TikTok,2026-06-16 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Long Video,Text Hook,386.5,Night (9 PM-12 AM),1555,115,9,44,68,8158,8174,0.31,3,#CareerPressure #struggle,Follow for more,Question to Audience,Gen Z
